"last_name, first_name",player_id,year,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,avg,slg_percent,on_base_percent,on_base_plus_slg,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Hoskins, Rhys",656555,2022,589,672,145,80,33,2,30,169,72,25.1,10.7,0.246,0.462,0.332,0.794,0.345,0.338,37.3,11.1,44.3,100.842284953,94.804616643,25.7,41.9
"Realmuto, J.T.",592663,2022,504,562,139,86,26,5,22,119,41,21.2,7.3,0.276,0.478,0.342,0.82,0.354,0.351,35.6,11.3,47.2,101.252893641,95.157569177,25.7,49
"Devers, Rafael",646240,2022,555,614,164,94,42,1,27,114,50,18.6,8.1,0.295,0.521,0.358,0.879,0.373,0.361,33.1,11.5,50.9,103.784239231,96.704402472,28.1,54.6
"Swanson, Dansby",621020,2022,640,696,177,119,32,1,25,182,49,26.1,7,0.277,0.447,0.329,0.776,0.337,0.337,37,10.8,46.3,100.839209567,94.810341952,30.7,49.4
"Báez, Javier",595879,2022,555,590,132,84,27,4,17,147,26,24.9,4.4,0.238,0.393,0.278,0.671,0.291,0.281,29.7,8,38,99.689131182,93.890376232,35.8,55.8
"Brown, Seth",664913,2022,500,555,115,61,26,3,25,146,51,26.3,9.2,0.23,0.444,0.305,0.749,0.323,0.338,34.9,13,41.4,101.723429266,95.001222068,29.6,48.3
"Urshela, Gio",570482,2022,501,551,143,100,27,3,13,96,41,17.4,7.4,0.285,0.429,0.338,0.767,0.332,0.323,38.6,7,37.6,99.120552402,93.736875907,21.4,53.1
"Smith, Will",669257,2022,508,578,132,79,26,3,24,96,56,16.6,9.7,0.26,0.465,0.343,0.808,0.349,0.349,36.8,10.3,43,99.764565096,94.188464255,19.3,42.6
"Hernández, Teoscar",606192,2022,499,535,133,72,35,1,25,152,34,28.4,6.4,0.267,0.491,0.316,0.807,0.348,0.351,36.3,15,53.3,103.420419483,96.496717867,35.1,48.8
"Schwarber, Kyle",656941,2022,577,669,126,56,21,3,46,200,86,29.9,12.9,0.218,0.504,0.323,0.827,0.355,0.375,35.4,20.1,54.4,104.793857287,97.247555372,29,40.6
"Soto, Juan",665742,2022,524,664,127,73,25,2,27,96,135,14.5,20.3,0.242,0.452,0.401,0.853,0.376,0.401,28.5,12.4,47.4,102.236934112,95.653888852,19.2,35.5
"Kiner-Falefa, Isiah",643396,2022,483,531,126,102,20,0,4,72,35,13.6,6.6,0.261,0.327,0.314,0.641,0.285,0.29,29.6,1.2,30.1,96.614692718,92.355143236,11.2,44.7
"Wisdom, Patrick",621550,2022,469,534,97,44,28,0,25,183,53,34.3,9.9,0.207,0.426,0.298,0.724,0.316,0.295,29.8,14.2,46.3,102.164032394,95.695873993,36.4,48.1
"Blackmon, Charlie",453568,2022,530,577,140,96,22,6,16,109,32,18.9,5.5,0.264,0.419,0.314,0.733,0.317,0.301,36.7,4.4,30.6,97.426435333,92.732128429,21.4,51.5
"Martinez, J.D.",502110,2022,533,596,146,86,43,1,16,145,52,24.3,8.7,0.274,0.448,0.341,0.789,0.343,0.349,42,12.5,41.7,100.92394699,94.707836352,30.1,51.9
