"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Stanek, Ryne","592773","2024","204","127",0.226,0.215,0.01100000000000001,0.39,0.378,0.01200000000000001,0.312,0.303,0.009000000000000008,"5.09","3.75","1.337"
"Leiter Jr., Mark","643410","2024","204","117",0.235,0.222,0.012999999999999984,0.333,0.338,-0.0050000000000000044,0.289,0.285,0.0040000000000000036,"4.53","3.29","1.243"
"Doval, Camilo","666808","2024","203","116",0.247,0.202,0.044999999999999984,0.4,0.339,0.061,0.334,0.301,0.03300000000000003,"4.71","3.69","1.015"
"Chapman, Aroldis","547973","2024","203","92",0.169,0.164,0.0050000000000000044,0.301,0.31,-0.009000000000000008,0.282,0.285,-0.0030000000000000027,"3.21","3.29","-0.08"
"Hudson, Daniel","543339","2024","202","139",0.191,0.215,-0.023999999999999994,0.346,0.415,-0.069,0.254,0.291,-0.03699999999999998,"2.61","3.44","-0.827"
"Voth, Austin","608723","2024","201","137",0.2,0.216,-0.015999999999999986,0.362,0.359,0.0030000000000000027,0.273,0.278,-0.0050000000000000044,"3.04","3.12","-0.08"
"Estrada, Jeremiah","669093","2024","201","104",0.212,0.202,0.009999999999999981,0.318,0.309,0.009000000000000008,0.26,0.262,-0.0020000000000000018,"3.42","2.76","0.663"
"Rogers, Taylor","573124","2024","201","128",0.246,0.216,0.03,0.415,0.355,0.06,0.315,0.283,0.03200000000000003,"2.57","3.24","-0.669"
"Herrin, Tim","682120","2024","201","125",0.156,0.218,-0.062,0.22,0.333,-0.11300000000000002,0.228,0.292,-0.06399999999999997,"2.12","3.46","-1.342"
"Priester, Quinn","682990","2024","201","155",0.283,0.279,0.003999999999999948,0.44,0.43,0.010000000000000009,0.335,0.331,0.0040000000000000036,"5.04","4.55","0.487"
"Koenig, Jared","657649","2024","201","133",0.221,0.219,0.0020000000000000018,0.298,0.35,-0.05199999999999999,0.262,0.28,-0.018000000000000016,"2.08","3.17","-1.093"
"Garcia, Robert","676395","2024","200","125",0.254,0.215,0.03900000000000001,0.354,0.311,0.04299999999999998,0.295,0.265,0.02999999999999997,"4.70","2.83","1.866"
